Col1,Col2,Col3,Col4,Col5,Col6,Col7
Word48 Word3 Word4 Word5,KE20182991,40.0,Word568 Word650,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,670399,48.0,Word826 Word780,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,6649,640.8,Word885 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word74 Word75 Word44 Word5,XIK00128,269111.58,Word840 Word841 Word842 Word843,2016-10-01,Word563 Word600 Word601 Word602,NoDoc
Word196 Word197 Word198 Word4 Word7,78557,4552.36,Word1672 Word640 Word745,2018-05-31,Word571 Word52 Word639 Word640 Word579,NoDoc
Word59 Word60 Word61 Word5,895,58.5,Word60 Word99 Word26,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3067,292.5,Word785 Word330 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word193 Word311 Word214 Word4 Word7,6200040790,1350.0,Word1952 Word319,2018-05-31,Word613 Word99 Word614 Word282 Word283 Word620,NoDoc
Word6 Word7,10823,2811.0,Word1144 Word2029 Word1034,2018-11-30,Word560 Word561 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,KX1494,360.0,Word783 Word784,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,16433,763.06,Word771 Word1212 Word930 Word1801,2018-07-31,Word563 Word575,NoDoc
Word16 Word17 Word18 Word7,FM1463,1260.0,Word330 Word99 Word26,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word299 Word237 Word7,31891,18039.89,Word949 Word991 Word99 Word145 Word883 Word1727 Word808,2018-06-30,Word571 Word52 Word657 Word646 Word13,NoDoc
Word96 Word3 Word4 Word5,76770,1710.0,Word797 Word190,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64755,52.52,Word1258 Word945,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word162 Word7,ZAQI22PMR18,13425.0,Word582 Word1225,2018-05-31,Word567 Word582 Word107,Doc1
Word96 Word3 Word4 Word5,85718,3060.0,Word123 Word190,2018-07-31,Word563 Word132 Word610,NoDoc
Word44 Word45 Word46,201805-00053-CK0,2570126.23,Word834 Word835 Word46,2018-06-30,Word560 Word561 Word642 Word643,Doc1
Word33 Word34 Word35 Word7,108644-757,10707.28,Word946,2018-04-01,Word560 Word561 Word366 Word562,Doc1
Word96 Word3 Word4 Word5,88361,900.0,Word123 Word190,2018-08-31,Word563 Word132 Word610,NoDoc
Word160 Word161 Word61 Word45 Word39,1053-3,455.0,Word61,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,SM1331,180.0,Word941 Word785,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,JJ1328,5040.0,Word1006 Word784,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word42 Word43 Word5,7952,1985.0,Word562,2018-04-30,Word576 Word366 Word562,NoDoc
Word48 Word3 Word4 Word5,ZW20180226,2730.0,Word877,2018-05-31,Word560 Word561 Word612,Doc1
Word195 Word5,QV137131,921.3,Word562,2018-04-01,Word563 Word366 Word56 Word4,NoDoc
Word16 Word17 Word18 Word7,GT1344,360.0,Word255,2018-09-30,Word563 Word366 Word562,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,10924,37.24,Word575,2017-12-01,Word563 Word575,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65102,105.0,Word994 Word1929,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word109 Word61 Word7,131,320.0,Word1012 Word785,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word36 Word37 Word29,2203159,650.0,Word578 Word791,2018-06-30,Word560 Word561 Word551 Word4,Doc1
Word42 Word43 Word5,7901,580.0,Word562 Word1091 Word806,2018-04-01,Word563 Word580 Word581 Word232,NoDoc
Word189 Word190 Word191 Word7,5460043,1253.5,Word130 Word791,2018-08-31,Word560 Word561 Word593 Word578 Word65,Doc1
Word286 Word287 Word288 Word39,51418081450,9474.0,Word132 Word1183 Word1323,2018-10-31,Word560 Word561 Word612,Doc1
Word16 Word17 Word18 Word7,RU1823,1260.0,Word338 Word942 Word784 Word779 Word99,2018-11-30,Word52 Word330 Word566,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80F+11,111.8,Word1428 Word784 Word568 Word650,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word156 Word157 Word7,1719764GZKO,34.64,Word957 Word319,2018-10-31,Word563 Word366 Word562,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80R+11,877.2,Word885 Word784 Word1471 Word9,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65965,825.0,Word393 Word798 Word1040,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word297 Word85 Word298 Word250 Word44,163612890,2352.24,Word1216 Word1217 Word1218 Word1219,2018-09-30,Word571 Word52 Word639 Word250 Word651,NoDoc
Word16 Word17 Word3 Word7,71912,648.0,Word994 Word706,2018-09-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,FE1600,5040.0,Word826 Word785,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,DF1483,1260.0,Word785 Word885 Word784,2018-10-31,Word560 Word561 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,SO1633,5040.0,Word1121 Word785 Word764 Word26,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64987,105.0,Word851 Word855 Word654,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word6 Word7,10734,770.0,Word1144 Word1245 Word1279,2018-08-31,Word563 Word366 Word562,NoDoc
Word208 Word209 Word155 Word7,R45541,5325.0,Word132 Word1183 Word1323,2018-05-31,Word560 Word561 Word612,Doc1
Word299 Word237 Word7,32297,23320.17,Word949 Word991 Word160 Word883 Word909 Word808,2018-08-31,Word571 Word52 Word657 Word681 Word371 Word13,NoDoc
Word16 Word17 Word18 Word7,VI119,360.0,Word255 Word132,2018-05-31,Word563 Word132 Word610,NoDoc
Word160 Word161 Word61 Word45 Word39,766-2,260.0,Word60 Word99 Word26,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word160 Word161 Word61 Word45 Word39,1064-1,60.0,Word826 Word780,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
